servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.3, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
servo0_data:0.1, servo1_data:0.4, servo2_data:0.4, servo3_data:-0.1, servo4_data:72.8, servo5_data:-0.2, servo6_data:0.1
